Source,Destination,Packet_Count,Duration
2001:db8::1,2001:db8::86,10,7.851789
2001:db8::87,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::87,10,7.852199
2001:db8::83,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::83,10,7.833853
2001:db8::90,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::90,10,7.832014
2001:db8::91,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::91,10,7.832029
2001:db8::92,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::92,10,7.851923
2001:db8::94,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::94,10,7.831885
2001:db8::89,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::89,10,7.833709
2001:db8::93,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::93,10,7.833722
2001:db8::95,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::95,10,7.851435
2001:db8::97,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::97,10,7.833978
2001:db8::96,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::96,10,7.851736
2001:db8::98,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::98,10,7.851607
2001:db8::99,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::99,10,7.851801
2001:db8::102,ff02::1:ff00:1,2,1.725657
2001:db8::1,2001:db8::102,14,7.712638
2001:db8::101,ff02::1:ff00:1,2,1.72546
2001:db8::1,2001:db8::101,11,7.690446
2001:db8::103,ff02::1:ff00:1,2,1.725417
2001:db8::1,2001:db8::103,14,7.713022
2001:db8::100,ff02::1:ff00:1,2,1.803262
2001:db8::1,2001:db8::100,11,7.713043
2001:db8::104,ff02::1:ff00:1,2,1.831449
2001:db8::1,2001:db8::104,14,7.79706
2001:db8::105,ff02::1:ff00:1,2,1.828469
2001:db8::1,2001:db8::105,14,7.779307
2001:db8::107,ff02::1:ff00:1,2,1.828447
2001:db8::1,2001:db8::107,11,7.777375
2001:db8::108,ff02::1:ff00:1,2,1.828425
2001:db8::1,2001:db8::108,11,7.77735
2001:db8::106,ff02::1:ff00:1,2,1.828318
2001:db8::1,2001:db8::106,14,7.79763
2001:db8::110,ff02::1:ff00:1,2,1.8282
2001:db8::1,2001:db8::110,11,7.841385
2001:db8::109,ff02::1:ff00:1,2,1.828287
2001:db8::1,2001:db8::109,11,7.842233
2001:db8::111,ff02::1:ff00:1,2,1.828266
2001:db8::1,2001:db8::111,11,7.797196
2001:db8::112,ff02::1:ff00:1,2,1.828244
2001:db8::1,2001:db8::112,11,7.796936
2001:db8::113,ff02::1:ff00:1,2,1.828146
2001:db8::1,2001:db8::113,11,7.84195
2001:db8::114,ff02::1:ff00:1,2,1.828124
2001:db8::1,2001:db8::114,11,7.842099
2001:db8::115,ff02::1:ff00:1,2,1.828199
2001:db8::1,2001:db8::115,11,7.797465
2001:db8::116,ff02::1:ff00:1,2,1.828087
2001:db8::1,2001:db8::116,11,7.841112
2001:db8::117,ff02::1:ff00:1,2,1.828166
2001:db8::1,2001:db8::117,11,7.797069
2001:db8::118,ff02::1:ff00:1,2,1.82829
2001:db8::1,2001:db8::118,11,7.796936
2001:db8::120,ff02::1:ff00:1,2,1.828267
2001:db8::1,2001:db8::120,11,7.779056
2001:db8::119,ff02::1:ff00:1,2,1.828092
2001:db8::1,2001:db8::119,11,7.777127
2001:db8::121,ff02::1:ff00:1,2,1.828204
2001:db8::1,2001:db8::121,11,7.777058
2001:db8::122,ff02::1:ff00:1,2,1.828181
2001:db8::1,2001:db8::122,11,7.778887
2001:db8::125,ff02::1:ff00:1,2,1.828159
2001:db8::1,2001:db8::125,11,7.777101
2001:db8::123,ff02::1:ff00:1,2,1.828034
2001:db8::1,2001:db8::123,11,7.779201
2001:db8::124,ff02::1:ff00:1,2,1.828013
2001:db8::1,2001:db8::124,11,7.796552
2001:db8::126,ff02::1:ff00:1,2,1.828114
2001:db8::1,2001:db8::126,11,7.778856
